pixel	count
638	7518
639	7489
640	7553
641	7457
642	7628
643	7800
644	7141
645	4989
646	4603
647	5501
648	5039
649	5290
650	5556
651	5425
652	5364
653	5186
654	5283
655	5420
656	6092
657	5386
658	6532
659	6557
660	6451
661	6478
662	7293
663	7681
664	8187
665	8911
666	10235
667	10019
668	9936
669	10570
670	11023
671	10474
672	9696
673	9891
674	10183
675	10391
676	10217
677	10295
678	10621
679	10156
680	10091
681	9723
682	9561
683	9338
684	10232
685	10243
686	10286
687	10421
688	10065
689	9950
690	11805
691	11621
692	11442
693	11220
694	11804
695	11443
696	10907
697	10689
698	10051
699	9832
700	9480
701	9536
702	9168
703	8758
704	8374
705	8525
706	8589
707	8350
708	7855
709	7791
710	7600
711	7465
712	7396
713	7333
714	7587
715	7493
716	7691
717	7589
718	7485
719	6035
720	4724
721	5117
722	5250
723	5581
724	5365
725	5165
726	5298
727	4935
728	5447
729	5404
730	5660
731	5802
732	6046
733	6119
734	6163
735	6698
736	6623
737	7330
738	7838
739	8354
740	8790
741	10788
742	10844
743	10085
744	10693
745	11786
746	10681
747	10224
748	10731
749	10416
750	10264
751	10427
752	10874
753	10734
754	10744
755	10961
756	10540
757	10574
758	10393
759	10304
760	10817
761	10785
762	11149
763	10832
764	10202
765	10049
766	11762
767	12038
768	11803
769	11912
770	12516
771	11936
772	11365
773	10899
774	10425
775	10277
776	10011
777	9551
778	9288
779	9340
780	8836
781	8830
782	9136
783	8460
784	8475
785	8285
786	7896
787	7681
788	7749
789	7585
790	7828
791	7405
792	7745
793	7570
794	7810
795	7132
796	7554
797	7432
798	4627
799	4951
800	5415
801	5359
802	4833
803	5320
804	5279
805	5385
806	5937
807	6032
808	6063
809	6430
810	6094
811	6722
812	6378
813	6284
814	6324
815	6697
816	7764
817	7935
818	8669
819	8899
820	10760
821	11082
822	10434
823	10958
824	11722
825	9987
826	10259
827	10796
828	10986
829	10889
830	10898
831	10998
832	10971
833	11227
834	10926
835	10830
836	10718
837	10851
838	10340
839	10673
840	11450
841	10973
842	11241
843	11460
844	11334
845	10536
846	12369
847	12433
848	12291
849	11992
850	13496
851	12604
852	12106
853	11596
854	10965
855	10664
856	10399
857	10282
858	9718
859	9427
860	9335
861	9151
862	9069
863	8770
864	8735
865	8228
866	8512
867	7963
868	8059
869	7842
870	7749
871	7934
872	7706
873	7946
874	7564
875	7903
876	7535
877	7361
878	7649
879	7696
880	6206
881	5000
882	5799
883	5422
884	5657
885	5633
886	5975
887	5769
888	5571
889	6060
890	6289
891	5785
892	6452
893	6213
894	6857
895	7103
896	6995
897	6627
898	6749
899	7855
900	8173
901	8806
902	9091
903	10624
904	11436
905	10730
906	11120
907	12012
908	10616
909	10820
910	10598
911	11520
912	11269
913	11100
914	11199
915	11218
916	11048
917	11246
918	11727
919	10966
920	10327
921	10920
922	10674
923	10925
924	11888
925	11752
926	12002
927	11870
928	11568
929	11496
930	13429
931	12468
932	12906
933	12556
934	14202
935	13083
936	12642
937	11902
938	11858
939	11230
940	10831
941	10382
942	10490
943	10420
944	9699
945	9635
946	9437
947	9206
948	9123
949	8842
950	8355
951	8485
952	8339
953	8366
954	8117
955	7933
956	8107
957	7973
958	7767
959	7941
960	8244
961	8273
962	7181
963	7177
964	7372
965	7826
966	7657
967	6251
968	5742
969	5933
970	6080
971	6000
972	6243
973	5675
974	5218
975	5249
976	5265
977	5432
978	5542
979	5509
980	6567
981	6717
982	7042
983	7572
984	7265
985	7292
986	7809
987	8372
988	9036
989	9101
990	10434
991	11882
992	11706
993	11109
994	12156
995	11178
996	10948
997	11347
998	11477
999	11788
1000	11387
1001	11089
1002	11452
1003	11687
1004	11470
1005	11739
1006	12100
1007	11552
1008	11420
1009	11284
1010	11599
1011	11852
1012	12278
1013	12538
1014	12325
1015	12134
1016	11578
1017	13216
1018	14214
1019	13033
1020	12980
1021	13864
1022	14325
