tgas.parallax	xhip.Plx
11.102389567168615	12.58
2.5077371837493256	0.1
3.23566891327897	4.47
4.641315617843866	4.14
5.913538532167281	5.83
3.633904390156945	3.35
4.657201671768105	7.88
2.935166271435946	5.16
3.747761812555437	3.
3.912596116498352	2.35
6.3540289092469635	6.7
4.163003332787933	4.42
8.284487602291241	6.87
5.142607364808661	6.86
2.100188676862331	2.01
2.2349929362671435	2.25
8.027670976260724	7.6
12.343466252514435	11.21
11.321767914127951	10.61
12.797926752577242	13.06
1.577829485683925	1.88
1.7058451079832477	2.36
3.6409254916314637	3.18
4.290467153707785	5.34
3.6113832893507722	3.48
1.6262558787071022	1.82
2.1966783080375896	3.62
2.07330185113445	2.7
4.291032737281243	2.33
19.366231083167172	18.83
3.118164409241481	4.2
1.9542892989973137	2.81
4.227909468975701	5.08
8.793294039076693	7.46
1.8969160955817668	4.3
8.091358463509788	8.43
3.0729174090251923	0.95
3.797378790148243	3.34
9.929823109204293	10.7
4.229854524016863	7.55
16.661767335961002	20.52
2.5385437139920586	1.83
2.8402492247004436	5.39
2.3062400457439214	1.28
7.430012214091511	6.91
9.654924020648	11.35
2.4710982175564573	3.62
9.604672374940678	10.43
3.778920849898562	3.79
11.055143388561351	11.07
1.3102389145537934	1.8
2.472627063548323	1.98
2.5103571726095173	2.13
14.449966600041764	10.04
13.129501882710192	12.37
4.090828675889112	3.62
3.777640175067359	4.15
13.6518818499231	13.57
1.3252134631390715	1.81
11.516006981466775	11.33
3.849889357239346	2.93
6.0693968350611955	6.98
2.817290846386697	2.13
14.272866639197385	18.16
1.895340865483084	2.56
2.4166466868827263	2.
5.017280649674789	4.8
23.723561840329367	22.94
7.007093958165385	6.52
8.899523465824455	8.93
10.025945947578673	10.52
2.6739369820929078	3.06
7.657089073838997	7.92
26.301077133861522	25.33
7.637742425792195	7.14
2.6239473773880886	1.31
2.4746195213916153	2.4
2.984167238776386	1.87
10.873798973938944	11.23
2.202000184790388	4.15
109.6450922592077	112.13
1.4485325333430767	2.19
7.928504000097465	8.27
2.5247521764642733	1.3
6.4997237212563865	8.04
3.115574084512825	4.81
5.326651701578353	5.67
3.307416932418457	4.05
2.7964421145942713	2.63
6.090135738799296	4.46
40.723175904373264	42.79
13.414508035538253	13.97
4.391622982884937	5.98
3.5300445405157843	3.06
6.043919699545789	6.03
3.3802877926828803	2.43
2.9162036405329164	2.22
1.430360079322928	0.2
7.955084490627337	8.6
7.019684985230932	5.89
6.45018915967479	6.75
8.230045225834651	7.6
13.912293131876101	14.16
4.442237659154209	4.55
3.238985963072829	2.21
12.121270758403751	11.51
11.407580582760586	11.9
13.774417140873243	13.37
25.80683001746853	27.35
3.64336676471353	4.57
2.0285758451568263	2.82
4.325401785331937	3.55
0.9789037569548991	0.27
6.649467851774602	8.1
0.749199813771475	0.82
3.601489113852489	3.12
6.546375535631958	7.37
3.9489311824167834	3.64
12.987549889053978	13.27
2.497774335226081	4.32
8.543357344805177	8.9
3.612976174668714	4.1
2.6698438006665386	1.84
14.301009522530487	13.69
4.036672055021996	2.5
3.0343787323623905	4.4
