name	lii	bii	distance
Trumpler 30	355.7481	-5.2542	 1000
ESO 383 10	312.1324	27.0895	 1000
NGC 6396	353.9299	-1.7738	 1192
Ruprecht 128	354.7779	-2.8634	 2486
NGC 6444	355.3928	-3.759	  560
ASCC 90	354.2878	-1.9157	  500
NGC 6475	355.8607	-4.5006	  301
NGC 2635	255.5997	3.9568	 4000
Kronberger 85	250.966	-2.8405	 8500
ESO 370 13	254.1716	2.1282	 2760
ESO 392 13	353.0111	0.2559	  816
FSR 1363	252.1903	-0.6273	 2391
ESO 368 11	249.3728	-5.2442	 1490
Ruprecht 59	253.0702	0.9392	  874
AH03 J1725 34.4	353.0907	0.6407	  290
Ruprecht 126	354.2846	-0.917	 2325
ESO 393 15	355.2646	-2.3842	 2471
Pismis 24	353.1609	0.8921	 1995
NGC 6357	353.1648	0.8947	 1205
Ruprecht 61	253.4957	2.1355	 3900
Collinder 333	354.1	-0.1734	  855
NGC 2061	238.9295	-27.9305	  542
Collinder 345	355.6767	-2.3829
Arp Madore 2	248.1254	-5.8762	13341
ASCC 98	1.5482	-12.9422	  800
Bochum 15	247.9879	-5.4834	 2806
Trumpler 27	355.0636	-0.7423	 1211
ESO 397 01	3.592	-16.9842	 1089
NGC 6404	355.6585	-1.1768	 2400
Ruprecht 140	0.0351	-8.8549
SAI 82	248.8262	-3.0395	 1150
NGC 2588	252.2796	2.4492	 4950
FSR 1343	248.215	-3.9416
ESO 368 14	248.2135	-3.9407	 4230
Antalova 4	355.1166	0.2085	 1802
Haffner 15	247.9516	-4.1577	 3500
NGC 2658	254.5553	6.0698	 2021
Ruprecht 55	250.6911	0.8042	 4600
NGC 6383	355.6897	0.0412	  985
Antalova 2	355.1719	0.987	 3500
Trumpler 28	356.01	-0.3044	 1343
ESO 456 09	357.8632	-3.3409	  750
Dutra Bica 50	355.9842	-0.1122
NGC 6416	356.9316	-1.5492	  741
Ferrero 1	0.6584	-8.1577	  750
BH 19	249.8787	-0.0179	 3050
BH 221	353.9967	3.009	  750
NGC 6405	356.5803	-0.7767	  487
Antalova 3	355.5023	0.9856	 2588
ESO 429 05	246.5013	-5.4011	 3596
ESO 435 33	266.2644	18.6379	 2860
Ruprecht 48	249.1313	-0.6378	 3030
ESO 456 29	358.7649	-3.9728	 3007
Ruprecht 52	249.3355	-0.1567	 2177
ESO 445 74	318.2539	29.0257	 2048
Ruprecht 58	250.4356	1.5652	 2229
Ruprecht 54	250.0317	0.9591	 5470
BH 231	355.9106	0.9071	 1699
Collinder 140	244.9297	-7.5912	  405
Haffner 17	247.7055	-2.5271	 2880
Ruprecht 155	249.2012	-0.0883	 2311
Collinder 198	254.089	6.9263
NGC 2439	246.4424	-4.4667	 1300
Collinder 196	253.9436	6.958	  661
Antalova 1	355.8565	1.6438	  850
NGC 6425	357.9403	-1.6055	  778
ESO 430 14	248.7048	-0.1439	 2860
Ruprecht 14	243.5692	-9.1855	 4023
NGC 2243	239.4782	-18.0142	 4458
Ruprecht 35	246.6619	-3.2462	 3910
Dutra Bica 51	358.4404	-1.9189	 1346
Ruprecht 21	244.5799	-6.8139	 3894
Majaess 184	357.3992	0.0012
Ruprecht 47	248.2521	-0.1879	 3006
Ruprecht 28	245.657	-4.3096	 4712
ESO 435 17	264.6021	18.8234	 3603
Ruprecht 50	248.2118	0.1242	 1834
ESO 426 26	239.6237	-16.5175	 1240
ESO 430 18	248.5794	0.7595	  830
Haffner 26	249.6092	2.3391	 1000
ESO 429 13	245.648	-3.9271	 1606
Collinder 132	242.9892	-8.8024	  472
Ruprecht 51	248.0475	0.2699	 2514
NGC 2567	249.7951	2.961	 1677
Haffner 20	246.9721	-0.9306	 3117
ESO 461 38	11.2444	-28.1893	 2402
NGC 2580	249.871	3.6747	 4000
Ruprecht 153	247.3599	-0.139	 1848
NGC 6451	359.4775	-1.6005	 2080
ESO 427 32	241.6481	-10.3407	 1786
Ruprecht 130	359.2215	-0.96	 2100
Basel 5	359.7671	-1.8729	  766
Haffner 13	245.0089	-3.7247	  714
NGC 2489	246.7128	-0.7732	 3957
NGC 2627	251.5834	6.6507	 2000
ESO 456 05	0.0094	-1.8768	 1828
NGC 2533	247.7996	1.3097	 1700
Czernik 32	245.886	-1.7299	 4100
Blanco 1	15.5719	-79.2612	  269
ESO 430 09	247.1681	0.5116	 2273
NGC 2571	249.106	3.5322	 1342
BH 245	359.4211	-0.5179	 1000
ESO 456 72	2.3595	-5.4018	 1211
Ruprecht 2	238.7742	-15.0746	 3161
Ruprecht 134	0.2704	-1.6432	 6664
NGC 2587	249.4587	4.4723	 2700
Haffner 7	242.6732	-6.8043	 4500
Trumpler 26	357.5247	2.8444	 1000
Ruprecht 3	238.7799	-14.8168	 1100
ESO 447 29	329.0596	28.0267	 1634
Dutra Bica 25	1.0831	-2.7319
ESO 425 15	236.3713	-20.3559	  990
Collinder 347	359.7381	-0.3335	 1514
Turner 12	246.2462	-0.0433	 4499
Ruprecht 131	0.144	-0.844	  600
ESO 436 02	266.2067	22.2382	 2150
Ruprecht 22	243.0432	-5.4258	 1609
ESO 425 06	235.3963	-22.2878	 1100
IRAS 17301 2917	358.3695	2.1381	 1215
Collinder 187	249.2769	4.8104	 2187
ESO 435 09	262.7188	19.8342	 2255
Dutra Bica 10	0.5646	-0.8555
Dutra Bica 7	0.5493	-0.8136
Dutra Bica 11	0.5844	-0.8691
Dutra Bica 12	0.5895	-0.8321
Dutra Bica 58	359.9942	0.1555	 1182
Ruprecht 20	242.4514	-5.7523	 1208
Ruprecht 43	245.93	0.3474	 1300
Dutra Bica 6	0.3151	-0.2047
Dutra Bica 5	0.3137	-0.1928
Collinder 351	0.5548	-0.5294	 1310
Ruprecht 133	1.0053	-1.1502	 5246
NGC 5998	343.8165	19.8092	 1170
Ruprecht 44	245.7455	0.4822	 4730
Dutra Bica 32	1.8854	-2.4412
ASCC 87	355.1502	8.0106	  900
Ruprecht 168	1.2379	-1.0851	 2626
Ruprecht 150	240.0152	-9.6469	 1789
Haffner 14	243.9855	-2.0505	 3483
ESO 435 48	264.8199	22.2888	 1819
Dutra Bica 28	1.3912	-1.1777	 7575
Ruprecht 12	239.9388	-9.3049	  900
ESO 429 02	242.5934	-4.1612	 1670
ASCC 43	244.736	-0.3846	 1000
Trumpler 31	2.2483	-2.293	  986
NGC 2527	246.0874	1.855	  601
SAI 81	244.5841	-0.5464	 2770
Dutra Bica 18	0.3811	0.9612
Teutsch 25	243.993	-1.137	 1980
Haffner 22	246.7749	3.377	 3050
NGC 2483	244.7908	0.2393	 1659
NGC 6520	2.8811	-2.8436	 1900
ESO 432 03	250.652	8.887	 1831
Dutra Bica 31	1.5781	-0.3877
Haffner 11	242.3889	-3.5198	 5800
ESO 494 09	244.9434	1.0838	 1212
Collinder 468	3.5998	-3.25	 7376
Czernik 37	2.2123	-0.6429	 1440
vdBergh 83	236.5604	-14.4007	 1925
ESO 493 03	242.4935	-2.4988	 1400
Haffner 21	244.85	1.6331	 2951
NGC 2453	243.2751	-0.9397	 2150
ESO 522 16	5.2143	-5.5368
FSR 1315	243.2192	-0.619	 2255
Ruprecht 57	246.3158	4.3784	 1764
Ruprecht 41	243.7791	0.3701	 3150
ESO 524 01	9.0618	-12.9828	 2800
AH03 J0748 26.9	243.1826	-0.6061	 4440
Dutra Bica 40	2.7169	-0.3413
Ruprecht 49	244.7158	2.2682	 1823
ESO 502 19	276.0266	30.6883	 1338
Ruprecht 27	241.601	-2.5265	 1490
Alessi 33	237.8827	-9.6046	  750
NGC 2467	243.1723	0.3777	 1355
Alessi 18	241.4231	-2.5553	 6287
Haffner 18	243.1514	0.4467	 6028
Ruprecht 36	242.5928	-0.3335	 1681
Haffner 19	243.0809	0.5236	 6400
Collinder 302	351.5829	15.7336
Ruprecht 18	239.9279	-4.9415	 1056
Dutra Bica 49	3.8902	-1.0307
ESO 486 54	228.5805	-30.6814	 2856
Ruprecht 53	244.9906	4.125	 1700
ESO 485 20	226.1617	-37.1443
Ruprecht 42	243.3262	1.6388	 5457
Majaess 88	239.5898	-4.8988
Trumpler 9	243.0718	1.2846	 2289
NGC 6698	9.2548	-10.7918	 1150
Ruprecht 13	237.8888	-8.1439	 1300
ESO 518 03	355.0608	12.4282	 1266
ASCC 95	6.1578	-4.2784	 1500
NGC 2354	238.3684	-6.7918	 1750
FSR 1308	242.0761	0.2308
Ruprecht 32	241.5663	-0.5728	 5346
Haffner 16	242.0972	0.4672	 3165
Waterloo 3	242.562	1.4434	 5200
Dutra Bica 59	2.201	3.445
Ruprecht 137	4.8507	-0.9211	 1450
ASCC 33	236.6761	-8.7292	  800
NGC 2362	238.1789	-5.5482	 1480
Dutra Bica 45	3.6557	1.7829	 1192
Ruprecht 169	5.1489	-0.5151	 1390
Collinder 121	235.7016	-9.9907	 1100
Ruprecht 136	5.1994	-0.4687	 4513
Ruprecht 138	5.2862	-0.5847	  930
NGC 2448	240.7594	-0.2636	 1040
Ivanov 6	238.4801	-4.2833	  442
Majaess 89	238.4783	-4.1795
ESO 521 38	6.4755	-2.3892	 1800
Majaess 90	238.4109	-4.1136
ASCC 37	237.6904	-5.4541	 1600
ESO 522 05	7.0005	-3.0016	  660
NGC 6530	6.0828	-1.3313	 1330
Ruprecht 29	240.1036	-0.7443	 2312
NGC 2482	241.6257	2.0345	 1194
Trumpler 6	238.3312	-3.6409	 2083
NGC 2352	236.7741	-6.263	 1750
Berkeley 75	234.3068	-11.1881	 9100
Trumpler 7	238.2133	-3.3316	 1474
NGC 2447	240.0386	0.1346	 1037
Collinder 367	7.1383	-2.1372	 1200
Dutra Bica 60	3.7308	3.9596	 3054
Bochum 14	6.3876	-0.4989	  578
Ruprecht 149	234.3459	-10.3267	 2362
ESO 525 08	15.119	-18.022	 1640
Ruprecht 139	6.4103	-0.2355	  550
Ruprecht 23	238.082	-2.4054	 3060
Ruprecht 25	238.7541	-1.1687	 3585
NGC 6546	7.3279	-1.3819	  938
FSR 0022	6.1805	0.846	 4340
Ruprecht 17	237.1282	-3.7312	 1263
NGC 6514	7.0859	-0.2873	  816
ASCC 39	237.953	-1.7186	 1500
FSR 0023	6.5838	0.7828	 2418
Juchert 12	236.5619	-4.1222	 2128
ESO 561 05	240.776	3.6548	 3677
NGC 6531	7.6773	-0.3548	 1205
Ruprecht 39	239.7329	2.3959	 4591
NGC 6469	6.5927	1.9594	 1100
ASCC 93	8.3294	-1.0496	 2500
Platais 5	228.8006	-18.7583	  272
NGC 6583	9.2825	-2.5336	 2040
FSR 1294	239.3162	2.3201	 2121
Teutsch 14a	7.907	-0.0304	 1720
NGC 6573	9.0632	-2.0905	  460
Majaess 190	8.5039	-0.9837
Bica 4	235.6199	-4.1072	 3930
Ruprecht 33	238.557	1.3815	 1558
Ruprecht 9	233.7249	-7.5702	 3434
ESO 589 26	7.9517	0.3279	 2434
NGC 2367	235.5964	-3.8374	 1400
FSR 1275	236.3963	-2.1594	 3750
NGC 6568	9.4087	-1.6513	 1000
Ruprecht 19	235.9605	-2.5183	 1797
vdBergh 113	9.1102	-0.7183	 3470
FSR 0031	8.9062	-0.2679	 1468
ESO 570 12	274.0641	35.8932	  640
NGC 2455	238.3537	2.3203	 2650
FSR 1270	235.6344	-2.2814	 1607
ASCC 36	234.3172	-4.6369	  750
NGC 2384	235.3899	-2.3928	 3070
NGC 2383	235.27	-2.461	 3400
ESO 559 13	235.6091	-1.5734	 2749
Tombaugh 2	232.8321	-6.8802	 6080
Ruprecht 11	233.2667	-5.9814	 1870
NGC 2287	231.0195	-10.4446	  710
NGC 7826	61.8749	-77.6529	  620
NGC 2421	236.2705	0.069	 2200
Tombaugh 1	232.3342	-7.314	 4169
Ruprecht 40	235.8748	-0.4475	 1836
Czernik 31	236.2691	0.2754	 3200
Ruprecht 34	237.2025	2.1566	 2630
Collinder 394	14.883	-9.2357	  690
FSR 0035	9.6861	0.7638	 2525
Ruprecht 38	237.564	3.1856	 2928
Ruprecht 10	232.5544	-5.8512	 2900
FSR 0039	10.2494	0.3212	 2940
NGC 6716	15.3951	-9.5927	  789
NGC 6595	11.4221	-1.7125	 1640
Teutsch 61	235.3755	0.1512	 1920
Auner 1	231.9966	-6.1552	 8900
Trumpler 33	12.3971	-3.2282	 1755
Ruprecht 62	242.5007	11.782	 2160
Dias 5	11.6608	-1.7444	 1760
FSR 1255	233.7033	-2.6322	 1023
Ruprecht 15	233.5438	-2.9031	 3416
Alessi 40	13.9073	-5.6009	  800
ESO 587 04	2.7274	13.0658	 5271
Ruprecht 16	233.7884	-2.0548	 2160
Bochum 6	234.7451	-0.2179	 3981
IC 4725	13.7024	-4.4336	  620
Ruprecht 157	241.6393	11.5845	 2059
NGC 2432	235.4712	1.7783	 1900
NGC 2509	237.84	5.8479	  912
Markarian 38	11.9832	-0.9313	 1471
NGC 6494	9.8936	2.8342	  628
Turner 3	12.3597	-1.3416	 1790
Turner 2	12.3517	-1.243	 1190
ASCC 99	15.8935	-7.9183	  280
Turner 4	12.4554	-1.1736	 2330
NGC 2204	226.0136	-16.1066	 2629
Ruprecht 5	230.004	-7.5547	 4712
ESO 559 02	232.4624	-2.7256
NGC 6737	17.4338	-10.6703	 2120
Mayer 3	233.7546	-0.1868	 2494
NGC 6554	11.7618	0.6484	 1775
FSR 1253	233.2334	-0.9335	 2640
NGC 6603	12.8598	-1.306	 3600
Majaess 86	232.3117	-2.5302
Haffner 24	233.4319	-0.3259	 2936
Collinder 469	12.7334	-0.871	 1481
Ruprecht 145	16.4883	-8.0309	  320
NGC 2017	221.6228	-23.7081	 1120
NGC 2479	235.9843	5.3809	 1585
Teutsch 49	231.6353	-2.1873	 3840
NGC 6507	11.5537	3.0278	 1230
FSR 0046	13.35	0.0681	 4736
Ruprecht 37	234.9399	4.5268	 5250
Bochum 4	232.7531	0.7738	 2291
NGC 2358	231.0252	-2.2797	  630
NGC 6613	14.1827	-1.0112	 1296
Haffner 9	231.7963	-0.5873	 1900
Haffner 23	230.0452	-3.8005	 1000
Bochum 5	232.4542	0.7697	  872
NGC 6645	15.7818	-3.5883	 1245
NGC 6561	13.4337	1.1585	 3400
NGC 6596	14.3071	-0.2882	 1100
Dolidze 52	15.0236	-1.6298	 1318
NGC 2428	233.0711	2.714	 2100
Berkeley 25	226.6117	-9.6995	11400
Ruprecht 45	235.3217	7.0275	 1888
NGC 2430	232.9082	2.8972	  650
Ruprecht 147	21.0123	-12.8164	  295
Ruprecht 151	233.0584	3.2581	 2100
NGC 6618	15.0952	-0.7454	 1300
Ruprecht 171	16.4778	-3.1123	 1140
FSR 1243	232.0236	1.9787	 4336
Waterloo 8	231.3971	1.1296
FSR 0052	16.7845	-2.9177	 1173
Ruprecht 26	232.0607	2.6828	 1820
NGC 2360	229.807	-1.4261	 1120
NGC 2414	231.4115	1.9456	 3455
FSR 1234	231.1544	1.5277	 1706
Czernik 29	230.7976	0.9353	 3000
Haffner 10	230.8175	1.0068	 3700
Ivanov 7	230.983	1.4841	 2299
Waterloo 7	230.2789	0.6219	 2800
FSR 0054	17.1564	-2.2766	 2325
ASCC 94	15.5446	0.9137	  850
Haffner 4	227.94	-3.5862	 4500
NGC 2425	231.5042	3.297	 3550
NGC 2437	231.8576	4.0644	 1510
Kronberger 25	16.5828	-0.4671	 1220
Dolidze 28	16.9654	-1.0353	 1258
Kharchenko 3	16.6797	-0.4476	 2130
Kharchenko 2	16.6611	-0.3204	 1990
NGC 2422	230.9581	3.1302	  490
Kronberger 2	16.8159	0.0272	 3065
Ruprecht 1	223.9523	-9.6843	 1480
Basel 11a	228.2557	-0.7763	 1520
NGC 2401	229.6653	1.8539	 5888
NGC 2423	230.4835	3.5368	  766
FSR 1227	229.8607	2.4339	 4500
FSR 1209	227.0242	-2.8805	 2964
NGC 6611	16.954	0.7934	 1800
ASCC 40	229.9738	2.8474	  700
NGC 2318	226.0483	-4.4598	 1335
Ruprecht 8	226.1936	-3.9203	 2190
DC 4	225.3387	-5.5727	 2304
NGC 2413	229.6012	2.9179	  440
Trumpler 32	17.2067	1.2879	 1720
FSR 0051	16.7098	2.2453	 4415
Ruprecht 6	225.2973	-5.0215	 7691
NGC 2374	228.4146	1.0198	 1468
Berkeley 33	225.4245	-4.6221	 6000
NGC 2345	226.5798	-2.3141	 2251
Berkeley 36	227.492	-0.5661	 6140
NGC 6639	18.9149	-1.5203	  700
Haffner 6	227.8604	0.258	 3054
Bica 3	18.4441	-0.4154	 1640
DC 1	223.4943	-7.933
FSR 1204	226.3149	-2.1681	 1706
NGC 2539	233.7053	11.1115	 1363
FSR 1202	226.1316	-2.3204	 2436
Ruprecht 24	228.8979	2.9605	 1983
Haffner 8	227.5333	1.3445	 2380
BDSB96	225.4753	-2.568	 1400
Ruprecht 141	19.6942	-1.2013	 1800
Dias 6	19.604	-1.0279	 2239
NGC 6604	18.2467	1.6948	 1696
Ruprecht 142	19.871	-1.3525	 1735
Ruprecht 143	20.0036	-1.3983	 2062
Melotte 71	228.9488	4.4979	 3154
NGC 6631	19.4814	-0.1771	 2600
NGC 1498	203.6225	-43.3297	 1020
Alessi 31	15.1977	7.6545	  650
FSR 0059	19.744	-0.5594	 1550
NGC 6625	19.0447	0.7953	 1335
SAI 69	222.8036	-6.6555	 7140
Berkeley 76	225.0987	-1.9982	12600
NGC 2396	227.5233	2.6272	  588
Ruprecht 135	16.4204	6.2338	  810
vdBergh 92	224.6103	-2.5089	 1500
Ruprecht 144	20.7488	-1.2779	 1600
NGC 2506	230.5639	9.9347	 3750
Collinder 466	224.2236	-1.4726	 2123
Melotte 72	227.8411	5.3607	 3981
NGC 2343	224.2681	-1.1729	 1056
Collinder 467	227.8314	5.6187
Collinder 465	224.0591	-1.406	 5410
Ruprecht 4	222.0471	-5.3389	 4700
NGC 2351	224.7679	0.0678	 1882
Alessi 10	31.6536	-20.9886	  513
NGC 6649	21.635	-0.7853	 1369
FSR 1171	223.1171	-2.7605	 4110
NGC 2353	224.6854	0.3842	 1170
NGC 2335	223.6003	-1.1826	 1417
Ruprecht 170	21.0504	1.2	 5785
Czernik 30	226.3686	4.1733	 9120
Majaess 70	216.203	-15.6608
FSR 1183	224.206	0.3204	 1634
vdBergh 80	219.2611	-8.9313	 2100
NGC 2225	218.7799	-9.8605	 3200
NGC 6694	23.8786	-2.9136	 1660
Alessi 21	223.437	0.0037	  500
FSR 1163	221.9258	-2.4009	 1706
Wit 3	224.4143	2.6272
NGC 6728	25.7486	-5.6859	 1000
Dolidze 27	7.6157	24.6639	 2107
FSR 1170	222.6412	-0.5101	 2276
Ivanov 4	221.8575	-2.0284	  717
NGC 2349	222.7797	0.3508	 1628
Dias 3	222.6002	0.3653	 4650
Trumpler 34	24.1194	-1.2638	 1342
NGC 2323	221.6722	-1.3312	  950
Mamajek 2	17.0255	12.3089	  161
NGC 6664	24.2942	-0.2869	 1164
NGC 2364	223.0029	3.02	 1919
NGC 2215	215.9932	-10.1025	  790
NGC 2306	219.693	-2.6046	 1200
NGC 2309	219.8446	-2.2456	 2511
NGC 2302	219.2966	-3.1175	 1500
ASCC 24	216.6401	-8.2269	  400
FSR 1144	219.4877	-1.7241	 1737
FSR 1150	220.3141	-0.0965	 5664
Berkeley 73	215.278	-9.4238	 9800
NGC 6705	27.307	-2.776	 1877
NGC 6683	26.3546	-0.7878	 1197
ASCC 30	219.0925	-1.5962	  800
Stephenson 2	26.2296	-0.1439	 5900
NGC 1980	209.523	-19.5931	  550
Basel 1	27.3553	-1.9466	 2178
Wit 1	219.1316	-0.6801	 1952
NGC 2548	227.8725	15.3929	  770
NGC 2338	219.8848	1.0118	 1800
FSR 1153	220.5971	2.4875	 3095
ASCC 38	221.98	5.365	  500
Trapezium	209.0101	-19.3859	  414
Teutsch 145	27.2373	-0.4086	 2700
NGC 6704	28.219	-2.2183	 2974
NGC 2250	215.4677	-6.2382	 1795
Pfleiderer 2	22.2817	9.3276	 5500
Bochum 3	218.7886	0.3503	 1762
Andrews Lindsay 5	27.7335	-0.6669	 2289
NGC 1977	208.472	-19.1273	  500
NGC 2232	214.4323	-7.5422	  359
NGC 2219	213.9602	-8.2877	 2023
NGC 2311	217.7588	-0.6935	 2290
Berkeley 39	223.4614	10.0945	 4780
ASCC 27	217.1182	-1.4575	 1200
Dolidze 33	27.8966	0.2621	 1067
NGC 1981	208.0071	-18.9392	  380
Dolidze 34	28.0391	0.1672	 1422
Czernik 26	214.3475	-6.5082	 8872
Trumpler 35	28.2809	0.0112	 1206
Dolidze 32	28.1203	0.438	 1381
Ivanov 9	217.4941	-0.0158	  736
FSR 0087	29.09	-0.4426	 1174
FSR 0090	29.6208	-1.3854	 1388
FSR 0089	29.4907	-0.9802	 1516
NGC 2184	211.427	-10.5816	  640
Berkeley 77	219.2529	5.1813	 4630
NGC 2286	215.3058	-2.2733	 2600
Wit 2	216.8478	0.8029	 2830
Ferrero 10	216.638	0.63
Sigma Orionis	206.8107	-17.3462	  399
ASCC 19	204.8887	-19.4665	  350
ASCC 29	214.7266	-0.1157	  750
FSR 1113	216.3011	3.248	 5805
NGC 2260	212.7178	-3.6503	 1985
Berkeley 79	31.1378	0.8327	 2300
Berkeley 80	32.1828	-1.2063	 1413
Alessi 60	215.2005	1.9446	 2906
Collinder 70	205.0299	-17.351	  387
Berkeley 37	217.2301	5.9347	 5250
FSR 0094	31.8158	-0.1212	 2069
King 23	217.2876	6.2946	 3113
NGC 6775	35.0072	-6.0631	 1185
FSR 1077	212.6466	-2.5235	 1298
Berkeley 24	212.151	-3.4356	 4700
FSR 1065	211.7633	-3.7429	 1551
Patchick 90	212.6458	-1.7414	 6310
NGC 6735	33.5557	-2.2588	 1466
Berkeley 81	33.6923	-2.4838	 3000
FSR 1063	211.2515	-3.8602	 2032
Berkeley 34	214.1588	1.8843	 7280
FSR 1085	213.3017	0.3008	 1429
ASCC 28	213.3829	0.5074	  800
FSR 0100	34.3304	-2.7844	 2687
Dolidze 49	212.4397	-0.9757	 2398
Herschel 1	219.3531	12.3527	  370
Dolidze 23	211.9191	-1.8748	  625
Teutsch 146	33.1122	0.0562	 3800
Berkeley 20	203.4833	-17.3728	 8400
SAI 72	213.2272	1.074	 3150
Dolidze 25	211.9422	-1.2733	 6800
Collinder 401	38.6505	-10.2622
Bochum 2	212.3014	-0.3899	 2661
NGC 2112	205.8724	-12.6147	  940
NGC 2301	212.5581	0.2792	  870
FSR 0098	33.0316	1.1525	 5387
Ferrero 11	208.1229	-7.904	 1500
ASCC 18	202.0845	-18.4809	  500
FSR 1080	212.9404	1.9137	 1753
NGC 2324	213.4471	3.2974	 3800
NGC 2262	210.5674	-2.104	 3600
Collinder 350	26.749	14.6625	  280
vdBergh 85	211.228	-0.4014	 1641
Teutsch 13	210.8241	-1.0322	 2780
Alessi 44	40.2079	-10.6409	  500
FSR 0107	36.3092	-3.211	 2847
FSR 1053	210.2427	-1.8529	 1202
ASCC 20	201.6686	-17.5263	  450
Alessi 15	210.4893	-1.0992	 1599
Dolidze 24	210.6624	-0.7339	 1261
Collinder 115	210.7967	-0.2926	 1917
Briceno 1	200.9816	-18.344	  460
Saurer 1	214.6893	7.386	13200
Collinder 110	209.6492	-1.9786	 1950
ASCC 35	213.4631	5.6892	  800
Alessi 16	210.1022	-0.7553	 1191
Alessi 59	211.082	1.1942	 3500
Collinder 91	207.4145	-5.5221	 1467
Berkeley 35	212.6022	5.3599	 4390
FSR 0101	35.1453	1.752	 1900
Collinder 96	207.9636	-3.3859	  962
Collinder 359	29.7495	12.5171	  249
Berkeley 28	210.4075	1.5065	 2557
NGC 2319	211.2581	3.4086	 1100
vdBergh 1	208.5551	-1.8083	 1687
Berkeley 30	210.7801	2.8581	 4790
FSR 1031	207.4838	-3.1656	 1791
NGC 2270	208.9831	-0.0776	 1400
ASCC 31	210.8905	3.6983	  600
FSR 1051	209.7784	1.8327	 1180
ASCC 21	199.8609	-16.4793	  500
Platais 6	205.3678	-6.2203	  348
NGC 6481	29.9402	14.9377	 1180
NGC 6755	38.5977	-1.6875	 1421
Czernik 39	38.6474	-1.6384	 1340
Dias 2	203.9665	-7.2455	 2835
Dolidze 22	205.6208	-4.1224	 2152
NGC 2269	207.8872	0.2986	 1687
NGC 6756	39.0884	-1.6814	 1507
Collinder 107	207.1538	-0.8886	 1738
NGC 2180	203.8491	-7.009	  910
Collinder 104	206.9425	-1.1159	 2025
NGC 6773	39.9758	-3.0034	 2160
Czernik 38	37.1279	2.6329	 1910
NGC 2244	206.3059	-2.072	 1660
NGC 2239	206.1703	-2.2729	 3900
Collinder 92	205.1092	-3.9812	 2670
NGC 2252	206.2479	-1.2611	  900
Berkeley 78	211.7848	9.5988	 4800
IC 4756	36.3808	5.2422	  484
NGC 2186	203.5508	-6.192	 2700
Majaess 79	205.3193	-2.6953
Archinal 1	38.2557	1.7781	 1413
Majaess 82	206.2652	-0.7189
IC 4665	30.6192	17.0819	  352
NGC 2143	202.2354	-8.0372	  800
Berkeley 26	207.6822	2.3663	12589
Berkeley 27	207.7844	2.6074	 5035
Collinder 97	205.3695	-1.7582	  630
Collinder 106	206.0043	-0.4627	 1000
NGC 2202	203.6215	-4.9048	  900
ASCC 34	209.6721	6.9926	  550
Mamajek 3	197.2713	-15.5561	   92
Juchert 3	40.3608	-0.6998	  828
Czernik 27	208.5402	5.5278	 4285
Berkeley 32	207.952	4.4044	 3078
NGC 6633	36.0113	8.3277	  376
FSR 1025	206.9433	2.7984	 2095
FSR 1029	207.235	3.6439	 1905
Juchert 18	204.602	-1.3119	 2290
NGC 2236	204.3697	-1.6993	 2930
Collinder 111	205.3427	0.3265	 1191
Czernik 25	202.3093	-5.2583	 1980
Dolidze 21	196.5851	-15.1033	 3599
NGC 2394	210.7831	11.469	  940
ASCC 26	206.3555	3.0694	  800
Collinder 74	199.0311	-10.3896	 2510
NGC 2254	204.3274	0.0466	 2364
Berkeley 22	199.8766	-8.0786	 6000
NGC 6828	46.831	-9.2746	  600
Basel 8	203.7791	-0.12	 1328
FSR 0118	44.0654	-3.854	 2883
Dolidze 19	195.1043	-15.3171	 1710
Berkeley 31	206.2536	5.1198	 8272
Basel 7	203.8156	0.5299	 1684
NGC 2251	203.577	0.1057	 1329
Alessi 53	202.2579	-0.665	 4570
Trumpler 5	202.8646	1.0495	 2820
Alessi 56	43.2107	0.9672	 3900
NGC 2264	202.9357	2.1957	  667
Collinder 69	195.0477	-12.0035	  400
Collinder 95	201.7471	0.0055	  556
NGC 2312	204.5625	6.2895	 2245
NGC 6709	42.1204	4.7151	 1075
NGC 6724	42.8417	3.5771	 1105
NGC 2141	198.0443	-5.8105	 4033
Poole J1856+10.8	43.0355	3.9141	 4389
Poole J1855+10.8	42.9587	4.1047	 4457
NGC 7193	70.0936	-34.2791	 1080
NGC 2259	201.7618	2.0752	 3311
NGC 1662	187.695	-21.1143	  437
NGC 6525	37.3783	15.8904	 1436
FSR 0979	200.7901	0.6298	 1933
Berkeley 43	45.652	-0.1815	 1030
NGC 6858	51.3599	-10.3044	 1310
NGC 2678	216.0348	31.4206	  900
Dol Dzim 2	192.2398	-13.5599	 1220
NGC 6738	44.398	3.102	  700
Dias 8	50.3356	-7.8215	 2220
Dolidze 35	47.1695	-2.0946	  708
NGC 6837	50.5189	-8.0089	  943
NGC 2682	215.696	31.8963	  808
FSR 0977	200.1757	1.102	 1916
Chupina 5	215.8374	32.3036
Dolidze 26	206.508	13.9007	 2070
NGC 2265	201.2247	3.2682	 2160
Chupina 1	215.3987	31.6938	 1783
FSR 0124	45.9484	1.0517	 3026
FSR 0123	45.9484	1.0517	 3308
NGC 6840	51.1616	-8.2531	 1970
NGC 6843	51.293	-8.4037	 1945
Alessi 19	40.2164	12.7579	  550
Chupina 2	215.0699	31.9245
Chupina 4	215.1593	32.2925
FSR 0974	199.6591	1.6002	 2308
