name	lii	bii	distance
Trumpler 22	314.6474	-0.5809	 1516
Ruprecht 95	294.8398	0.6686	 1634
ASCC 65	291.1159	-0.5714	 3500
Collinder 236	289.5391	-1.2603	  800
NGC 2609	276.1456	-12.7539	 1320
Loden 306	290.5547	-0.7845	 2000
ESO 129 32	294.8867	0.7347	 1560
ASCC 67	294.563	0.7105	 1500
Hogg 8	286.5245	-2.7278	 7194
ASCC 72	300.6944	1.8416	 1100
NGC 5168	307.7315	1.5616	 1777
Alessi Teutsch 8	297.0691	1.3932	  650
ASCC 64	290.1422	-0.7682	 1500
Hogg 23	300.1488	1.8526	 1250
Collinder 257	299.6917	1.8172
Pismis 19	314.7122	-0.3016	 1500
NGC 3590	291.2038	-0.1783	 1651
Hogg 12	291.2058	-0.1721	 2000
Harvard 5	299.9844	1.9545	 1184
Loden 694	303.1248	2.1045	 1700
NGC 2516	273.8158	-15.8558	  409
Hogg 7	286.3948	-2.5335	 4583
ASCC 84	323.5653	-5.4452	  900
Ruprecht 164	293.2375	0.6126	  780
ASCC 79	320.0418	-2.8647	  800
Loden 402	293.4675	0.7031	 2450
Teutsch 143a	290.6892	-0.3075	 5483
NGC 5617	314.6703	-0.0999	 2000
NGC 3255	286.0885	-2.635	 1445
Loden 172	286.2852	-2.5025	 1415
Trumpler 18	290.9864	-0.1346	 1358
Loden 565	297.6692	1.7804	  650
Loden 682	302.4225	2.2176	  900
Trumpler 20	301.4698	2.2046	 3300
Hogg 6	283.9589	-3.8502	 1600
Teutsch 80	317.4151	-1.0876	 2500
Ruprecht 104	299.6592	2.2696	 2702
NGC 6025	324.5508	-5.884	  756
ASCC 63	289.1279	-0.6733	 3500
Ruprecht 159	279.5563	-7.5041	 6347
Hogg 10	290.7985	0.0767	 1776
Hogg 11	290.9033	0.1194	 2270
Hogg 5	283.8635	-3.7752	 2622
Loden 309	290.7941	0.0929	  600
Juchert 10	315.9974	-0.301	 3200
NGC 4755	303.2057	2.5089	 1976
NGC 3496	289.5147	-0.4114	  990
ESO 123 26	273.0994	-16.2726	  550
Collinder 240	290.8751	0.2054	 1577
Trumpler 12	283.8278	-3.6981	 1300
Loden 1010	309.5034	1.9058	  700
Hogg 13	291.3934	0.4562	 2208
NGC 3572	290.7047	0.2022	 1995
Sher 1	289.6373	-0.2419	 5875
Collinder 275	308.2808	2.2222	 1952
Chupina 3	216.1467	31.7593
ASCC 80	320.9227	-2.7319	 1500
Trumpler 13	285.5153	-2.3525	 2400
NGC 3114	283.3317	-3.8395	  911
Bochum 9	286.7838	-1.5693	  710
NGC 4439	300.0681	2.6389	 1785
ASCC 62	288.4364	-0.6657	 3000
Collinder 228	287.6677	-1.0471	 2201
Bochum 11	288.025	-0.856	 2412
NGC 5043	306.0129	2.6505	  970
Collinder 223	286.3576	-1.7051	 2820
Ruprecht 111	315.6595	0.2983	 1121
NGC 2132	268.6904	-30.2004	  974
Pismis 17	289.4693	0.1394	 3504
Feinstein 1	290.0251	0.3847	 1159
Hogg 14	300.0612	2.9277	  969
Loden 1095	310.6823	2.1846	 4028
Loden 821	307.0736	2.8735	 2800
Trumpler 16	287.6238	-0.6517	 2900
Loden 1225	312.5802	1.6933	 1500
Loden 1194	312.1805	1.8316	  500
Pismis 21	320.3565	-1.8067	 1174
ESO 130 13	299.3803	3.0176	 4319
NGC 5606	314.8408	0.9938	 1805
FSR 1698	320.8207	-2.0539	 1562
NGC 4852	304.0352	3.2398	 1100
NGC 5381	311.6017	2.1144	 2630
Collinder 232	287.4929	-0.5436	 2300
ASCC 53	280.5657	-5.3662	 2500
Trumpler 14	287.4081	-0.5774	 2900
Teutsch 106	289.1641	0.2966	 6660
SAI 113	285.0651	-1.8947	 2025
Turner 6	289.0982	0.3185	 3250
Stock 15	297.7485	2.9758
Ruprecht 86	282.8378	-3.3927	 7173
Ruprecht 113	324.5944	-4.6438	  810
Teutsch 31	288.3728	0.016	 3250
Trumpler 15	287.41	-0.3688	 1853
Loden 1152	311.5189	2.3823	 1711
ESO 130 06	297.3747	3.0997	 2200
Loden 915	308.3702	3.1705	  500
Majaess 65	182.0338	-0.1689
Trumpler 17	288.6692	0.4485	 2189
FSR 1535	283.3275	-2.6982	 1602
DC 5	286.7938	-0.4999	 4430
BH 99	286.5578	-0.6245	  507
ESO 134 12	317.0114	0.5732	 2088
Bochum 10	287.0163	-0.3147	 2027
Loden 1282	313.5892	1.9796	 1349
Platais 8	277.6823	-7.6209	  132
Platais 10	309.5747	3.0774	  246
Loden 280	290.1873	1.231	 5246
Pismis 20	320.5165	-1.2002	 3272
Hogg 9	288.8339	0.6914	 3049
Basel 17	290.2649	1.3351	 1636
NGC 5138	307.5356	3.5178	 1986
Majaess 135	288.9552	0.802
