hip	ecl_lon	ecl_lat	plx_diff	plx_diff_error	div	xhip_plx	xhip_plx_error	tgas_plx	tgas_plx_error
14356	65.8139990037563	45.740977816664184	3.1409751383881623	0.7962847896915035	3.94453740552427	14.97	0.68	11.829024861611838	0.4143301416672965
82242	264.23512395081553	-56.58616725550439	-5.030932522451746	1.275428811935698	3.9445028020155664	-0.81	1.25	4.220932522451745	0.25341399786852015
71005	219.29080873334004	2.8665872087681654	3.766142271260302	0.9547944493478827	3.9444534620331617	6.69	0.92	2.9238577287396983	0.2554064222088522
82757	249.8446449709387	38.61836996558553	-3.858037416140075	0.9784469819448113	3.9430214281734943	12.16	0.94	16.018037416140075	0.2715851551114491
49168	147.20476380378088	3.1086139667355934	3.7854624385882385	0.9602899944032721	3.9419992509039306	11.71	0.86	7.924537561411762	0.4272667473031765
101272	313.3992154759511	28.438815610647122	-4.89229956763856	1.2412500162882365	3.9414296100218507	1.82	1.18	6.71229956763856	0.3850994714817813
19301	68.72876727360115	23.264861071744324	3.1584231423625226	0.8013985969179047	3.941138847147335	33.85	0.75	30.69157685763748	0.2823822075520805
79087	185.81594582546896	77.47204606112517	2.3656824665027423	0.6006089856845083	3.9388063164033364	5.55	0.52	3.1843175334972575	0.30055141604220376
74807	238.24425715226656	-22.867701687195208	-3.1019951237687327	0.7876444383709573	3.938319084921646	-1.07	0.7	2.031995123768733	0.3610869165404652
85867	261.2752808482591	42.6107206794006	3.003468995039814	0.7629682288679781	3.936558406234142	8.26	0.71	5.256531004960186	0.27932153204137233
93439	74.11467775277065	78.0067886253983	-1.9665305643284228	0.49959601365961787	3.936241504257176	2.92	0.42	4.886530564328423	0.27054791971955927
65915	190.7373108006578	31.099224519385384	2.8957462588895364	0.7357316111910461	3.935873102151653	5.96	0.68	3.0642537411104636	0.28089322474166706
43650	162.3263091004617	-61.41431461020011	34.530754157587644	8.773962094027219	3.9355941805463335	36.4	8.77	1.8692458424123575	0.26364906111441133
19930	68.71797587191064	14.95305560065641	-3.28342771500688	0.834660816615371	3.9338467191038053	37.56	0.8	40.84342771500688	0.2380308358029223
112128	328.17699988547486	-25.05261326787707	3.494513974896968	0.8883826008291509	3.933568680471056	7.53	0.83	4.035486025103032	0.31673908103668935
33830	248.34971492147235	-79.73699609257112	3.771889300911775	0.9589818397202545	3.9332228668814793	5.8	0.93	2.028110699088225	0.23397899246138276
102841	315.08674003844305	17.3940191538014	-3.838284293404692	0.9765366908059062	3.930506994301537	2.64	0.89	6.478284293404692	0.4019003713486093
58793	194.8563583946061	-28.978988377730644	-3.2524800942868457	0.8281347729655248	3.927476783325757	1.94	0.78	5.192480094286846	0.278221498440831
7745	46.97533038803975	41.63797434433672	2.3100913346603917	0.5882154660703889	3.9272876486793264	1.81	0.49	-0.5000913346603919	0.3254188601240021
90795	278.5062160102923	22.726059469011567	2.8661506610360576	0.7299766989410023	3.926359108714104	4.53	0.55	1.6638493389639426	0.4799645622301739
74817	205.7792374232381	58.51533251550685	7.39705335770971	1.8844747534440607	3.9252599931046444	8.75	1.87	1.35294664229029	0.23312034739175586
52613	231.07437597652603	-66.73995952485667	-2.633253892246905	0.6714932199295263	3.9214899184287626	-0.68	0.61	1.9532538922469052	0.2807189776472604
74288	223.04800327640723	24.14295798434324	3.1438908782302972	0.8018915360205099	3.920593667607793	6.7	0.75	3.556109121769703	0.2837781449325029
26881	84.83237756404691	-32.95125440333789	-2.637694829977818	0.67357353558146	3.915971591284145	2.04	0.63	4.677694829977818	0.23833024951883136
70761	204.96933622381496	36.78909788117775	3.1115407823440613	0.7951544847611438	3.913127375844124	9.91	0.71	6.798459217655939	0.35800929406338045
75219	244.03391514725422	-36.33806336435911	-5.977325417753617	1.5279595566486586	3.9119657269358292	1.93	1.46	7.907325417753617	0.4506222439626852
78590	232.477615326051	41.93552790540797	3.666409909012927	0.937304043361596	3.9116548519982093	8.35	0.82	4.683590090987073	0.4540251861978549
64482	145.03761932929382	63.44718276151475	1.9565564013060435	0.5002769148721815	3.9109468039434416	9.24	0.44	7.283443598693957	0.23806929989821865
116057	351.3344303533461	-1.7681980300185407	-5.0224648189672605	1.2842625900499538	3.9107771711795345	1.14	1.09	6.16246481896726	0.6791394556361863
39718	105.42664108097175	48.84041598498187	5.087486281476767	1.3021508157336263	3.90698697877826	12.05	1.17	6.962513718523233	0.5715739207799359
110054	330.46192637049353	-4.998418977427007	2.4863301602519705	0.6368820614698134	3.9039098612919814	7.86	0.55	5.37366983974803	0.321121098998554
20178	68.33175406545477	9.314175667989554	-3.185141528363033	0.8168298473304466	3.8993941501680847	0.51	0.72	3.695141528363033	0.38576028760083736
